jansson,1.0.0,jansson,BASE LIBS,1/1/2014,Debbie,0
radix2,1.0.0,radix2,BASE LIBS,1/1/2014,Debbie,Debbie
patricia,1.0.0,patricia,BASE LIBS,1/1/2014,Debbie,Debbie
itable32,1.0.0,itable32,BASE LIBS,1/1/2014,Debbie,Debbie
